X,Y,OBJECTID,AMENITY_NAME,PARK_NAME,ADDRESS_911,ZIP_CODE,POOL_TYPE,POOL_STATUS,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.188984681977,39.9316028957185,43,Vare Pool,George A Vare Recreation Center,1710 S 26TH ST,19145,OUTDOOR,ACTIVE,,Emergency access is along walkway between recreation center and garden.,Programs 2021
-75.1572988256341,39.9230549462645,44,Ford Pool,James Otis Ford Playground,617 SNYDER AVE,19148,OUTDOOR,ACTIVE,2016/01/01 00:00:00+00,,Programs 2021
-75.1456497541064,39.9734573022345,45,Cruz Pool,Narcissa S Cruz Recreation Center,1425 N 06TH ST,19122,OUTDOOR,INACTIVE,,,Programs 2021
-75.1665191374942,39.9685281201603,46,Francisville Pool,Francisville Recreation Center,1862 WYLIE ST,19130,OUTDOOR,ACTIVE,2012/01/01 00:00:00+00,"Swim Philly; Emergency access up this roadway through basketball courts",Programs 2021
-75.2340309290147,39.9668427718079,47,Shepard Pool,Haddington-Marshall L Shepard Sr Recreation Center,398 N 57TH ST,19139,OUTDOOR,ACTIVE,,Emergency access is through site's main gate.,Programs 2021
-75.2004994895678,39.9661012260557,48,Ellis Pool,Norman (Butch) Ellis Playground,708 N 39TH ST,19104,OUTDOOR,ACTIVE,,,Programs 2021
-75.2155707303823,39.9657642787792,49,Mill Creek Pool,Mill Creek Playground and Recreation Center,4728 BROWN ST,19139,OUTDOOR,INACTIVE,,Emergency access is through site's main gate.,Programs 2021
-75.1435538698547,39.9627235306681,50,Northern Liberties Pool,Northern Liberties Recreation Center,315 FAIRMOUNT AVE,19123,OUTDOOR,ACTIVE,,,Programs 2021
-75.2112107548262,39.9613823042615,51,Lee Pool,John A Lee Cultural Center,4376 HAVERFORD AVE,19104,OUTDOOR,ACTIVE,,"Swim Philly; Emergency access along the main road.",Programs 2021
-75.2388309422821,39.9564168886588,52,Sayre Morris Pool,Howard Sayre Morris Recreation Center,5825 SPRUCE ST,19139,INDOOR,INACTIVE,,Owned by School District of Philadelphia,"Finder; Administration"
-75.2351329323829,39.9485588117636,53,Christy Pool,Albert W Christy Sr Recreation Center,5571 CHRISTIAN ST,19143,OUTDOOR,ACTIVE,2017/01/01 00:00:00+00,,Programs 2021
-75.1833294318153,39.9461271889888,54,OConnor Pool,OConnor Pool,577 S TANEY ST,19146,OUTDOOR,ACTIVE,,Swim Philly,Programs 2021
-75.2173617974174,39.9426303047277,55,Kingsessing Pool,Kingsessing Recreation Center,4970 CHESTER AVE,19143,OUTDOOR,ACTIVE,,"Swim Philly; Emergency access from Chester Ave entrance.",Programs 2021
-75.1716352301914,39.9416978690621,56,Marian Anderson Pool,Marian Anderson Recreation Center,1713 CATHARINE ST,19146,OUTDOOR,ACTIVE,2018/01/01 00:00:00+00,Swim Philly,Programs 2021
-75.1372129837385,39.9727304008766,57,Hancock Pool,Hancock Playground,1415 N HANCOCK ST,19122,OUTDOOR,ACTIVE,,,Programs 2021
-75.1644782536767,39.9392892147289,58,Ridgway Pool,Ridgway Park,1301 CARPENTER ST,19147,OUTDOOR,INACTIVE,2016/01/01 00:00:00+00,,Programs 2021
-75.17435784559,39.9381959383307,59,Chew Pool,Charles H Chew Jr Playground,1865 ELLSWORTH ST,19146,OUTDOOR,INACTIVE,,Emergency access is through site's main gate.,Programs 2021
-75.0946849527599,40.0283607990656,60,Houseman Pool,Edward Houseman Playground,4965 SUMMERDALE AVE,19124,OUTDOOR,ACTIVE,,,Programs 2021
-75.1594121215315,40.0492839464258,61,Lonnie Young Pool,Lonnie Young Recreation Center of East Germantown,5659 ARDLEIGH ST,19138,OUTDOOR,ACTIVE,,Emergency access is through basketball court.,Programs 2021
-75.1820059199309,40.0567998319145,62,Pleasant Pool,Pleasant Playground,320 SLOCUM ST,19119,OUTDOOR,ACTIVE,,"Swim Philly; Emergency access from dead end on Slocum St",Programs 2021
-75.151465242453,39.9335003520869,63,Sacks Pool,Solomon Sacks Playground,401 FEDERAL ST,19147,OUTDOOR,ACTIVE,,Emergency access from corner of Federal St and S 4th St then around playground equipment.,Programs 2021
-75.2410597563304,39.9823473300614,64,Tustin Pool,Ernest L Tustin Recreation Center,1971 N 60TH ST,19151,OUTDOOR,ACTIVE,,,Programs 2021
-75.2485801208079,39.9581808544673,65,Cobbs Creek Pool,Johnny Sample Recreation Center,250 S 63RD ST,19139,OUTDOOR,ACTIVE,,Emergency access is through site's main gate.,Programs 2021
-75.1003430260763,39.9828536454508,66,Monkiewicz Pool,Reverend M Monkiewicz Recreation Center,3217 RICHMOND ST,19134,OUTDOOR,INACTIVE,,Emergency access is through site's main gate.,Pictometry 2020
-75.1653791342506,40.0539270137638,67,Awbury Pool,Awbury Park and Recreation Center,6167 ARDLEIGH ST,19138,OUTDOOR,ACTIVE,,,Programs 2021
-75.2311683428214,39.9773677664875,68,Baker Pool,Charles A Baker Playground,5444 HUNTER ST,19131,OUTDOOR,INACTIVE,,Emergency access is through site's gate along Hunter St past the basketball court.,Programs 2021
-75.1510297182317,39.9665688539391,69,East Poplar Pool,East Poplar Playground,840 N 08TH ST,19123,OUTDOOR,INACTIVE,,,Programs 2021
-75.2286631489079,39.9352704652363,70,F.J. Myers Pool,Francis J Myers Recreation Center,1902 S 58TH ST,19143,OUTDOOR,INACTIVE,2021/10/01 00:00:00+00,Rebuild renovation in 2021,"Programs 2021; NearMap 2021; Capital 2021"
-75.0925411244841,40.0214547887132,71,Simpson Pool,Private Alfred J Simpson Memorial Recreation Center,1010 ARROTT ST,19124,OUTDOOR,ACTIVE,,,Programs 2021
-75.0483861598518,40.0280773160908,72,Vogt Pool,Joseph F Vogt Playground,6722 COTTAGE ST,19135,OUTDOOR,ACTIVE,2008/01/01 00:00:00+00,,Programs 2021
-75.0329188418357,40.1001752516627,73,Lackman Pool,William A Lackman Memorial Playground,1165 BARTLETT ST,19115,OUTDOOR,ACTIVE,2014/01/01 00:00:00+00,,Programs 2021
-75.1272742485708,39.9721612732701,74,Lederer Pool,Lederer Pool,618 MOYER ST,19125,OUTDOOR,INACTIVE,,Closed Indefinitely,NearMap 2021
