OBJECTID,PUBLIC_NAME,PARENT_NAME,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,BLD_CLASSIFICATION,BLD_TYPE,HISTORIC,BLD_ACCESS,FLOOR_COUNT,INTERIOR_SQUARE_FOOTAGE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
11,FDR Park Police,Franklin Delano Roosevelt Park, ,FDR Police,"FDR Stables;FDR Police",950,1600 PATTISON AVE,19145,3500 S BROAD ST,"1700 PATTISON AVE;3500 S BROAD ST;1800 PATTISON AVE",BUILDING,OFFICE, ,STAFF_ONLY,0,0,9,7,2,1,N, ,2725.86328125,400.922019335838
12,American Swedish Historical Museum,American Swedish Historical Museum,American Swedish Historical Museum,American Swedish Museum,"Franklin Delano Roosevelt Park;American Swedish Museum;FDR Park",951,1834 PATTISON AVE,19145,3500 S BROAD ST,"1900 PATTISON AVE;3500 S BROAD ST;1800 PATTISON AVE",BUILDING,MUSEUM, ,CONDITIONAL,0,0,9,7,2,1,N,Located within Franklin Delano Roosevelt Park,1743.30078125,321.029472599647
13,William A Cibotti Recreation Center,William A Cibotti Recreation Center,William A. Cibotti Recreation Center,Cibotti Rec Center, ,1376,2500 S 77TH ST,19153,2500 S 77TH ST,"7700 ELMWOOD AVE, 77th & Elmwood",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1500,9,8,2,12,Y, ,577.02734375,98.8357992982172
14,Pool Building,J Francis Finnegan Playground, , , ,1377,6801 GROVERS AVE,19142,6801 GROVERS AVE,69th & Grovers,BUILDING,OPERATIONS,N,STAFF_ONLY,0,0,9,8,2,12,N, ,364.20703125,80.3611237462398
15,J Francis Finnegan Recreation Center,J Francis Finnegan Playground,J. Francis Finnegan Recreation Center,J Finnegan Rec Center, ,1378,6801 GROVERS AVE,19142,6801 GROVERS AVE,69th & Grovers,BUILDING,RECREATION_BUILDING,N,PUBLIC,3,2946,9,8,2,12,Y, ,537.22265625,101.35077459733
16,Commodore John Barry Recreation Center,Commodore John Barry Playground,Commodore John Barry Recreation Center,Barry Rec Center,Commodore John Barry Playground Building 2,1379,2838 S 18TH ST,19145,1800 JOHNSTON ST,"1800 JOHNSTON ST, 18th & Bigler",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,0,9,7,2,1,Y,Support building,150.47265625,49.1099752259378
17,Blue Bell Tavern,Cobbs Creek Park, ,Blue Bell Tavern, ,952,7303 WOODLAND AVE,19142,6501 COBBS CREEK PKWY,"Woodland Ave & Cobbs Creek Parkway;6501 COBBS CREEK PKWY",BUILDING,OFFICE,Y,STAFF_ONLY,4,2080,8,8,2,12,N,Renovated in 2000.,164.953125,56.6783105298779
18,Commodore John Barry Recreation Center,Commodore John Barry Playground,Commodore John Barry Recreation Center,Barry Rec Center,Commodore John Barry Playground Building 1,1381,2838 S 18TH ST,19145,1800 JOHNSTON ST,"1800 JOHNSTON ST, 18th & Bigler",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,2274,9,7,2,1,Y,Primary building,448.1484375,95.7304990827194
19,Lawrence E Murphy Recreation Center,Lawrence E Murphy Recreation Center,Lawrence E. Murphy Recreation Center,Murphy Rec Center,Greenwich Recreation Center,953,300 SHUNK ST,19148,300 SHUNK ST,"4th & Shunk;2600 S 3RD ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,2,18115,10,7,1,3,Y, ,1641.9296875,197.21684287221
20,Bocce Courts,Marconi Plaza, ,Bocce Courts,Tenaglia Bocce Courts,954,1380 OREGON AVE,19148,2701 S BROAD ST,"Broad & Oregon; 2701 S BROAD ST",BUILDING,ATHLETIC,N,PUBLIC,1,0,9,7,2,3,N, ,663.6875,121.272138196797
21,Smokehouse,Stephen Girard Park, , ,Girard Estates,1383,2101 SHUNK ST,19145,2101 SHUNK ST,"2100 SHUNK ST;22nd & Porter",BUILDING,FARM,Y,STAFF_ONLY,2,0,9,7,2,1,N, ,59.15234375,30.7649463716159
22,Gentilhommiere,Stephen Girard Park,Gentilhommiere,Gentilhommiere,"Girard Estates;The Place;Farmhouse;Stephen Girard House",1384,2101 SHUNK ST,19145,2101 SHUNK ST,"2100 SHUNK ST;22nd & Porter",BUILDING,PARK_BUILDING,Y,PUBLIC,3,3600,9,7,2,1,N, ,331.57421875,90.0828298315281
23,Restrooms,Stephen Girard Park, , ,Girard Estates,1385,2101 SHUNK ST,19145,2101 SHUNK ST,"2100 SHUNK ST;22nd & Porter",BUILDING,COMFORT_STATION,N,PUBLIC,1,0,9,7,2,1,N, ,58.16015625,30.5078295527747
24,Thomas I Guerin Recreation Center Gym,Thomas I Guerin Recreation Center,Thomas I. Guerin Recreation Center,Guerin Gym, ,957,2201 S 16TH ST,19145,2201 S 16TH ST,16th & Jackson,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,19965,9,7,2,1,Y, ,2421.2109375,202.66487399339
25,Thomas I Guerin Recreation Center,Thomas I Guerin Recreation Center,Thomas I. Guerin Recreation Center,Guerin Rec Center, ,1389,2201 S 16TH ST,19145,2201 S 16TH ST,16th & Jackson,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,9872,9,7,2,1,Y, ,849.1953125,124.645374111957
26,James Otis Ford Playground,James Otis Ford Playground,James Otis Ford Recreation Center,Ford Rec Center,"Ford Recreation Center, Ford P.A.L.",1390,633 SNYDER AVE,19148,"609-39 SNYDER AVE, 630-38 SNYDER AVE","619 SNYDER AVE;7th & Snyder",BUILDING,RECREATION_BUILDING,N,PUBLIC,2,9596,9,7,1,3,Y, ,963.54296875,124.857214742806
27,John J McCreesh Sr Recreation Center,John J McCreesh Sr Playground,"John J. McCreesh, Sr. Recreation Center",McCreesh Rec Center, ,1391,6744 REGENT ST,19142,6744 REGENT ST,6600 REGENT ST,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1673,8,8,2,12,Y, ,652.96875,112.71686659036
28,Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,Thomas B. Smith Recreation Center,Smith Rec Center,Wilson,1392,2200 S 24TH ST,19145,"2100 S 24TH ST, 2200 S 24TH ST","2100 S 24TH ST, 24th & Jackson",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,2334,9,7,2,1,Y, ,692.01171875,146.942173778554
29,East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,East Passyunk Community Recreation Center,East Passyunk Rec Center,Tolentine Community Center,959,1027 MIFFLIN ST,19148,1025-33 MIFFLIN ST,"1025-33 MIFFLIN ST, 1025 MIFFLIN ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,15885,9,7,1,3,Y,Gymnasium in the buildling,2511.23046875,211.978096729209
30,John Dickinson Recreation Center,John Dickinson Square, ,Dickinson Rec Center, ,1394,1600 E MOYAMENSING AVE,19148,1600 E MOYAMENSING AVE,4th & Tasker,BUILDING,RECREATION_BUILDING,N,PUBLIC,0,1804,10,7,1,3,Y,Former PPD Mini Station,332.4921875,80.1728686080893
31,George A Vare Recreation Center,George A Vare Recreation Center,George A. Vare Recreation Center,Vare Rec Center, ,363,2600 MORRIS ST,19145,2600 MORRIS ST,26th & Morris,BUILDING,RECREATION_BUILDING,N,STAFF_ONLY,2,24504,9,7,2,17,Y,Currently Closed,2046.94921875,264.469599420747
32,John Bartram House,Bartrams Garden,John Bartram House,John Bartram House,Bartram's Homestead,963,2701 S 53RD ST,19143,2901 S 56TH ST,"5443 Bartram Rd, 5400 LINDBERGH BLVD, 57th & Schuylkill River;2901 S 56TH ST",BUILDING,MUSEUM,Y,PUBLIC,3,7000,9,8,3,12,N,Construction/Renovations in 1925.,328.625,83.0438601029964
33,Bartrams Garden Carriage House,Bartrams Garden, , ,Bartram's Homestead,1400,2701 S 53RD ST,19143,2901 S 56TH ST,"5443 Bartram Rd, 5400 LINDBERGH BLVD, 57th & Schuylkill River;5423 BARTRAM DR;2901 S 56TH ST",BUILDING,MUSEUM,N,PUBLIC,0,0,9,8,3,12,N, ,431.6796875,108.615374931773
34,Bartrams Garden Gift Shop,Bartrams Garden, , ,Bartram's Homestead,1401,2701 S 53RD ST,19143,2901 S 56TH ST,"5443 Bartram Rd, 5400 LINDBERGH BLVD, 57th & Schuylkill River;5405 BARTRAM DR;2901 S 56TH ST",BUILDING,MUSEUM,N,PUBLIC,0,0,9,8,3,12,N, ,200.49609375,72.2152336800831
35,South Philadelphia Older Adult Center,South Philadelphia Older Adult Center,South Philadelphia Older Adult Center,S Phila Older Adult Center,SPOAC,964,1430 E PASSYUNK AVE,19147,1430 E PASSYUNK AVE, ,BUILDING,OLDER_ADULT_CENTER,N,CONDITIONAL,1,8000,9,7,1,3,Y, ,1726.828125,206.484512143073
36,Bartrams Garden Barn,Bartrams Garden, , ,Bartram's Homestead,1403,2701 S 53RD ST,19143,2901 S 56TH ST,"5443 Bartram Rd, 5400 LINDBERGH BLVD, 57th & Schuylkill River;5401 BARTRAM DR;2901 S 56TH ST",BUILDING,MUSEUM,N,PUBLIC,0,0,9,8,3,12,N, ,273.6640625,77.9984741880364
37,Administrative Office,Bartrams Garden, , ,Bartram's Homestead,1404,2790 S 53RD ST,19143,5305 HARLEY AVE,"5443 Bartram Rd, 5400 LINDBERGH BLVD, 57th & Schuylkill River;5305 HARLEY AVE;5302 HARLEY AVE",BUILDING,OFFICE,,STAFF_ONLY,0,0,9,8,3,12,N, ,592.43359375,118.368477816575
38,Maintenance Barn,Bartrams Garden, , ,Bartram's Homestead,1405,2790 S 53RD ST,19143,5305 HARLEY AVE,"5443 Bartram Rd, 5400 LINDBERGH BLVD, 57th & Schuylkill River;5305 HARLEY AVE;5302 HARLEY AVE",BUILDING,OPERATIONS,,STAFF_ONLY,0,0,9,8,3,12,N, ,386.71875,80.8307688904939
39,Francis J Myers Recreation Center,Francis J Myers Recreation Center,Francis J. Myers Recreation Center,FJ Myers Rec Center, ,965,5800 CHESTER AVE,19143,5800 CHESTER AVE,"58th & Kingsessing;5801 KINGSESSING AVE",BUILDING,RECREATION_BUILDING, ,PUBLIC,2,27475,8,8,2,12,Y, ,2941.5390625,276.108056202127
40,Columbus Square Recreation Center,Columbus Square,Columbus Square Recreation Center,Columbus Rec Center,"Passyunk Square;Columbus/DiProspero",1406,1200 WHARTON ST,19147,1200 WHARTON ST,"1300 S 12TH ST;1201 W REED ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,2955,9,7,1,3,Y, ,690.546875,112.264166938184
41,Ralph R Rizzo Sr Ice Rink,Ralph R Rizzo Sr Ice Rink,"Ralph R. Rizzo, Sr. Ice Rink",Rizzo Ice Rink, ,967,1001 S FRONT ST,19147,1201-99 S FRONT ST,"1101 S FRONT ST; 1201-99 S FRONT ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,3000,10,7,1,3,Y, ,4033.84765625,260.554627828645
42,Solomon Sacks Recreation Center,Solomon Sacks Playground,Solomon Sacks Recreation Center,Sacks Rec Center, ,968,400 WASHINGTON AVE,19147,400 WASHINGTON AVE,4th & Washington,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,535,10,7,1,3,Y, ,115.68359375,45.0509929875553
43,Dr Nicola Capitolo Recreation Center,Dr Nicola Capitolo Playground,Dr. Nicola Capitolo Playground,Capitolo Rec Center, ,1409,900 FEDERAL ST,19147,900 FEDERAL ST,10th & Federal,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,3363,9,7,1,3,Y, ,709.546875,134.325461900817
44,Wharton Square Recreation Center,Wharton Square,Wharton Square Recreation Center,Wharton Rec Center, ,1410,1300 S 23RD ST,19146,1300 S 23RD ST,"2300 WHARTON ST, 23rd & Wharton",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1097,9,7,2,17,Y, ,550.7890625,99.4380053240895
45,Shot Tower Recreation Center,Shot Tower Recreation Center,Shot Tower Recreation Center,Shot Tower Rec Center, ,1411,129 CARPENTER ST,19147,101-31 CARPENTER ST,"101-31 CARPENTER ST;103 CARPENTER ST",BUILDING,RECREATION_BUILDING, ,PUBLIC,1,6351,10,7,1,3,Y, ,1143.5546875,153.988243426002
46,Jacob Stinger Playground Building,Jacob Stinger Park,,,Stinger Square,1412,1400 S 32ND ST,19146,1400 S 32ND ST,"3220 REED ST;33rd & Dickinson",BUILDING,OPERATIONS,N,STAFF_ONLY,1,420,9,7,2,17,Y,Staff/Storage/Restrooms,259.90234375,71.7101486680456
47,Donald P Finnegan Recreation Center,Donald P Finnegan Recreation Center,Donald P. Finnegan Recreation Center,D Finnegan Rec Center,Oakford,1413,1231 S 30TH ST,19146,"1231 S 30TH ST, 2909 WHARTON ST","2909 WHARTON ST;30th & Oakford",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1533,9,7,2,17,Y, ,272.26953125,69.5789792408894
48,Charles H Chew Jr Recreation Center,Charles H Chew Jr Playground,"Charles H. Chew, Jr. Recreation Center",Chew Rec Center, ,1414,1800 WASHINGTON AVE,19146,1800 WASHINGTON AVE,1900 ELLSWORTH ST,BUILDING,RECREATION_BUILDING,N,PUBLIC,0,1339,9,7,2,17,Y, ,393.12890625,86.0380743060627
49,Weccacoe Square Recreation Center,Weccacoe Square,Weccacoe Square Recreation Center,Weccacoe Rec Center, ,970,425 QUEEN ST,19147,405-25 QUEEN ST,"405-25 QUEEN ST;4th & Catharine;412 CATHARINE ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,403,10,7,1,3,Y, ,429.91015625,95.5871005396041
50,Hawthorne Cultural Center,Hawthorne Cultural Center,Hawthorne Cultural Center,Hawthorne Cultural Center, ,971,1200 CARPENTER ST,19147,1200 CARPENTER ST, ,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,5000,10,7,2,3,Y, ,1477.79296875,162.723615401123
51,Library,Kingsessing Recreation Center, , , ,972,4901 KINGSESSING AVE,19143,4901 KINGSESSING AVE,"1201 S 51st St, 51st & Chester",BUILDING,LIBRARY,Y,PUBLIC,0,8858,8,8,3,12,N,Constructed through Carnegie Funds,896.22265625,145.771570553238
52,48th and Woodland Recreation Center,48th and Woodland Playground, ,48th and Woodland Rec Center,Comegys Playground,5,4740 WOODLAND AVE,19143,4740 WOODLAND AVE, ,BUILDING,RECREATION_BUILDING,N,PUBLIC,0,3080,8,8,3,18,Y, ,663.07421875,124.18781954595
53,Walter Palumbo Recreation Center,Walter Palumbo Recreation Center,Walter Palumbo Recreation Center,W Palumbo Rec Center,"Frank Palumbo, Jr. Recreation Center;Palumbo Recreation Center;Walter 'Chief' Palumbo",973,700 S 09TH ST,19147,700 S 9TH ST,"9th & Bainbridge;900 BAINBRIDGE ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,11017,10,7,1,3,Y,"Originally Frank Palumbo Recreation Center, later renamed to Walter Palumbo Recreation Center.",2103.23828125,236.793569005657
54,Kingsessing Recreation Center,Kingsessing Recreation Center,Kingsessing Recreation Center,Kingsessing Rec Center, ,974,4901 KINGSESSING AVE,19143,4901 KINGSESSING AVE,51st & Chester,BUILDING,RECREATION_BUILDING, ,PUBLIC,0,28759,8,8,3,12,Y, ,2319.640625,295.51221804763
55,Marian Anderson Recreation Center,Marian Anderson Recreation Center,Marian Anderson Recreation Center,M Anderson Rec Center, ,272,756 S 17TH ST,19146,740 S 17TH ST,"740 S 17TH ST, 740-44 S 17TH ST;776 S 17TH ST",BUILDING,RECREATION_BUILDING, ,PUBLIC,3,31857,7,7,2,17,Y, ,2775.3125,269.62909755902
56,Starr Garden Recreation Center,Starr Garden Playground,Starr Garden Recreation Center,Starr Garden Rec Center, ,975,606 LOMBARD ST,19147,600-44 LOMBARD ST,"600-44 LOMBARD ST, 6th & Lombard",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,2600,10,7,1,3,Y, ,565.0078125,98.4674154384712
57,Charles Seger Recreation Center,Charles Seger Park,Charles Seger Recreation Center,Seger Rec Center,Charles Mitchell Playground,301,1020 LOMBARD ST,19147,1000-42 LOMBARD ST,1000-42 LOMBARD ST,BUILDING,RECREATION_BUILDING,N,PUBLIC,1,983,10,7,1,3,Y, ,227.93359375,74.7469488921619
58,Electric Utilities Shed 1,Michael Foglietta Plaza, , , ,1415,109 SPRUCE ST,19106, , ,STRUCTURE,OPERATIONS,N,STAFF_ONLY,0,0,10,5,1,6,N,Located in I-95 Park,22.10546875,19.1613662865442
59,Electric Utilities Shed 2,Michael Foglietta Plaza, , , ,1416,109 SPRUCE ST,19106, , ,STRUCTURE,OPERATIONS,N,STAFF_ONLY,0,0,10,5,1,6,N,Located in I-95 Park,20.703125,18.3777502723314
60,Electric Utilities Shed 3,Michael Foglietta Plaza, , , ,1417,109 SPRUCE ST,19106, , ,STRUCTURE,OPERATIONS,N,STAFF_ONLY,0,0,10,5,1,6,N,Located in I-95 Park,21.0859375,18.6184694014038
61,Electric Utilities Shed 4,Michael Foglietta Plaza, , , ,1418,109 SPRUCE ST,19106, , ,STRUCTURE,OPERATIONS,N,STAFF_ONLY,0,0,10,5,1,6,N,Located in I-95 Park,22.43359375,19.1204830878219
62,Electric Utilities Shed 5,Michael Foglietta Plaza, , , ,1419,109 SPRUCE ST,19106, , ,STRUCTURE,OPERATIONS,N,STAFF_ONLY,0,0,10,5,1,6,N,Located in I-95 Park,21.3125,18.6786913101272
63,Electric Utilities Shed 6,Michael Foglietta Plaza, , , ,1420,109 SPRUCE ST,19106, , ,STRUCTURE,OPERATIONS,N,STAFF_ONLY,0,0,10,5,1,6,N,Located in I-95 Park,23.00390625,19.4168544907723
64,Korean War Veterans Memorial Restrooms,Korean War Veterans Memorial, , , ,1421,109 SPRUCE ST,19106,109 SPRUCE ST, ,BUILDING,COMFORT_STATION,N,PUBLIC,1,0,10,5,1,6,N,Located in I-95 Park,285.58203125,74.3909080175203
65,Albert W Christy Sr Recreation Center,Albert W Christy Sr Recreation Center,"Albert W. Christy, Sr. Recreation Center",Christy Rec Center,Sherwood Recreation Centre,976,728 S 55TH ST,19143,728 S 55TH ST,5501 CHRISTIAN ST,BUILDING,RECREATION_BUILDING, ,PUBLIC,1,7861,8,8,3,18,Y, ,2276.3359375,273.389374038192
66,Maintenance Building,Washington Square, , , ,1423,600 WALNUT ST,19106,600 WALNUT ST,"6th & Walnut; 650 WALNUT ST",BUILDING,OPERATIONS,N,STAFF_ONLY,1,0,10,5,1,6,N,,29.6953125,21.8260117983789
67,William H (Billy) Markward Memorial Recreation Center,William H (Billy) Markward Memorial Playground,William H. (Billy) Markward Memorial Playground,Markward Rec Center, ,192,400 S TANEY ST,19146,"400-16 S TANEY ST, 338-46 S 26TH ST, 300 S 26TH ST","400-16 S TANEY ST;Pine & Taney;338-46 S 26TH ST;300 S 26TH ST;2620 Pine St;350 S 26th St",BUILDING,RECREATION_BUILDING,N,PUBLIC,1,1480,7,5,2,9,Y,Located in Schuylkill River Park,407.12109375,91.5823483527824
68,Maintenance Building,Rittenhouse Square, , , ,1424,1800 WALNUT ST,19103,1800 WALNUT ST,18th & Walnut,BUILDING,OPERATIONS,N,STAFF_ONLY,1,0,7,5,5,9,N, ,79.18359375,42.8638646178601
69,Philadelphia History Museum at the Atwater Kent,Philadelphia History Museum at the Atwater Kent,Philadelphia History Museum at the Atwater Kent,Atwater Kent Museum, ,979,15 S 7TH ST,19106,13-17 S 7TH ST,13-17 S 07TH ST,BUILDING,MUSEUM,Y,CONDITIONAL,2,16780,10,5,1,6,N, ,1021.6953125,131.604883554219
70,Betsy Ross House,Betsy Ross House,Betsy Ross House,Betsy Ross House,Betsy Ross Flag House Museum,3482,239 ARCH ST,19106,239-47 ARCH ST,239-47 ARCH ST,BUILDING,MUSEUM,Y,CONDITIONAL,2,2565,10,5,1,6,N, ,364.6953125,123.39620575816
71,Plaza Building,John F Kennedy Plaza (LOVE Park), ,,"Tourist Center; Restaurant; Welcome Center",981,1575 JOHN F KENNEDY BLVD,19102,1501 JOHN F KENNEDY BLVD,"1599 JOHN F KENNEDY BLVD; 1501 JOHN F KENNEDY BLVD; 1569 JOHN F KENNEDY BLVD; 80 N 15TH ST",BUILDING,CONCESSIONS, ,PUBLIC,2,0,7,5,5,9,N,Located on Benjamin Franklin Parkway. 2018-JFK Renovation-Welcome Center converted to a restaurant.,643.1171875,89.9835900347366
72,Howard Sayre Morris Recreation Center,Howard Sayre Morris Recreation Center,Howard Sayre Morris Recreation Center,Sayre Morris Rec Center, ,982,5825 SPRUCE ST,19139,5800 WALNUT ST,"5835 SPRUCE, 59th & Spruce;5800 WALNUT ST",BUILDING,RECREATION_BUILDING,N,PUBLIC,2,20000,8,8,3,18,Y,PPR leases land from School District began 1968.  PPR is responsible for the playground equipment only. The property and building are the School Districts responsibility.,2519.3125,249.331636421632
73,Storage Building,Franklin Square, , ,Storage Facility,1426,200 N 06TH ST,19106,200 N 6TH ST,6th & Race,BUILDING,OPERATIONS,N,STAFF_ONLY,1,0,10,5,1,6,N, ,55.30859375,32.9875335311722
74,Maintenance Building and Restooms,Franklin Square, , , ,52,200 N 06TH ST,19106,200 N 6TH ST,6th & Race,BUILDING,OPERATIONS,N,CONDITIONAL,1,0,10,5,1,6,N, ,116.609375,46.6305513036623
75,Pool Building,Johnny Sample Recreation Center, , ,"Cobbs Creek Park;Cobbs Creek Pool",2879,280 COBBS CREEK PKY,19139,12 COBBS CREEK PKWY,"63rd & Spruce;12 COBBS CREEK PKWY",BUILDING,OPERATIONS,N,STAFF_ONLY,0,0,8,8,3,18,N,Located within Cobbs Creek Park,142.2890625,47.813482089871
76,Johnny Sample Recreation Center,Johnny Sample Recreation Center,Johnny Sample Recreation Center,Sample Rec Center,"Cobbs Creek Park;Cobbs Creek Recreation Center and Pool",983,280 COBBS CREEK PKY,19139,12 COBBS CREEK PKWY,"63rd & Spruce;12 COBBS CREEK PKWY",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,3000,8,8,3,18,Y,Located within Cobbs Creek Park,1655.4921875,181.104732778712
77,Logan Square Maintenance Building,Benjamin Franklin Parkway, , , ,1427,200 N 18TH ST,19103,200 N 18TH ST, ,BUILDING,OPERATIONS, ,STAFF_ONLY,1,0,7,5,5,9,N,Located on Benjamin Franklin Parkway,21.32421875,18.4723675878511
78,Laura Sims Skate House,Johnny Sample Recreation Center,Laura Sims Skate House,Laura Sims,"Cobbs Creek Park;Laura Sims Rink, Cobbs Creek Ice Rink",984,200 S 63RD ST,19139,12 COBBS CREEK PKWY,"200 S 63RD ST;200 COBBS CREEK PKWY;12 COBBS CREEK PKWY",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,3000,8,8,3,18,Y,"Located within Cobbs Creek Park; Building with the ice rink, named for Laura Sim in 1998",5607.2265625,318.963969169417
79,John A Lee Cultural Center,John A Lee Cultural Center,John A. Lee Cultural Center,Lee Cultural Center, ,985,4372 HAVERFORD AVE,19104,4310 HAVERFORD AVE,"4310 HAVERFORD AVE;4328 HAVERFORD AVE;44th & Haverford",BUILDING,RECREATION_BUILDING, ,PUBLIC,3,13722,8,8,3,16,Y,Gym inside building. Two buildings connected so actually one building now (Asset ID 1428 was secondary).,729.171875,141.219991024076
80,John A Lee Pool Building,John A Lee Cultural Center, , , ,1429,4372 HAVERFORD AVE,19104,4310 HAVERFORD AVE,"4310 HAVERFORD AVE;4328 HAVERFORD AVE;44th & Haverford",BUILDING,RECREATION_BUILDING,N,PUBLIC,0,7289,8,8,3,16,Y,Building attached to the pool.,789.41796875,128.1697424444
